城市,酒店名,价格,评分,地址,网址
佛山,佛山希尔顿酒店,435,4.6,距市中心直线4.6公里 · 祖庙商圈,https://hotel.qunar.com/cn/foshan/dt-10041/
佛山,佛山岭南天地马哥孛罗酒店,495,4.3,距市中心直线1.6公里 · 祖庙商圈,https://hotel.qunar.com/cn/foshan/dt-9378/
佛山,佛山顺德香云纱园林酒店,283,4.5,清晖园 · 靠近清晖园,https://hotel.qunar.com/cn/foshan/dt-9443/
佛山,铂顿国际公寓(佛山岭南天地店),278,4.6,距市中心直线1.4公里 · 祖庙商圈,https://hotel.qunar.com/cn/foshan/dt-12878/
佛山,喜悦门酒店(佛山乐从家具城店),179,4.7,距市中心直线9.3公里 · 乐从,https://hotel.qunar.com/cn/foshan/dt-12648/
佛山,佛山顺德新世界酒店,172,4.3,清晖园 · 靠近清晖园,https://hotel.qunar.com/cn/foshan/dt-16/
佛山,佛山新凯广场万枫酒店,513,4.7,距市中心直线4.9公里 · 千灯湖,https://hotel.qunar.com/cn/foshan/dt-14623/
佛山,佛山甜果璀璨公寓,316,4.6,距市中心直线1.4公里 · 祖庙商圈,https://hotel.qunar.com/cn/foshan/dt-14128/
佛山,佛山奥斯汀悦品公馆,117,4.7,佛山南海区九江镇大正路北10号首层08号铺位自编1号,https://hotel.qunar.com/cn/foshan/dt-14359/
佛山,佛山蓝汐假日酒店,455,4.4,清晖园,https://hotel.qunar.com/cn/foshan/dt-16425/
佛山,什光云端公寓(佛山ICC岭南新天地祖庙地铁站店),132,4.8,距市中心直线1.9公里 · 祖庙商圈,https://hotel.qunar.com/cn/foshan/dt-16745/
佛山,佛山南海瞻云酒店,861,4.8,距市中心直线6.5公里 · 千灯湖,https://hotel.qunar.com/cn/foshan/dt-13699/
佛山,佛山希尔顿花园酒店,510,4.6,距市中心直线3.5公里 · 千灯湖,https://hotel.qunar.com/cn/foshan/dt-11439/
佛山,莱斯顿酒店(佛山祖庙地铁站店),84,4.7,距市中心直线1.1公里 · 千灯湖,https://hotel.qunar.com/cn/foshan/dt-16325/
佛山,中英假日酒店(佛山西站店),290,4.8,距市中心直线9.0公里 · 佛山西站商圈,https://hotel.qunar.com/cn/foshan/dt-9434/
佛山,有舍睡眠体验馆(佛山大良店),122,4.5,清晖园 · 清晖园附近,https://hotel.qunar.com/cn/foshan/dt-14220/
佛山,佛山保利洲际酒店,497,4.5,距市中心直线3.9公里 · 千灯湖,https://hotel.qunar.com/cn/foshan/dt-2314/
佛山,佛山千灯湖酒店,459,4.7,距市中心直线3.5公里 · 千灯湖,https://hotel.qunar.com/cn/foshan/dt-12713/
佛山,四季小筑精品酒店(佛山祖庙店),252,4.8,距市中心直线1.8公里 · 祖庙商圈,https://hotel.qunar.com/cn/foshan/dt-12768/
佛山,麗枫酒店(佛山顺德大良清晖园店),246,4.6,清晖园 · 靠近清晖园,https://hotel.qunar.com/cn/foshan/dt-15077/
